2000 10 512 20 0
72	74	91	49	71	94	29	19	58	4
60	49	91	48	25	58	63	91	38	18
91	45	13	76	86	53	91	92	6	6
89	48	52	94	21	30	19	4	91	46
32	11	71	97	16	28	64	1	46	5
12	2	71	60	84	69	72	82	29	33
1	93	80	57	62	1	7	90	91	13
87	69	54	53	80	32	53	94	4	19
80	84	50	82	23	80	82	48	62	12
21	82	9	2	42	43	69	25	60	15
23	14	64	51	58	32	22	20	49	58
34	33	94	56	21	78	27	85	60	42
71	77	29	76	86	42	56	55	93	60
73	55	25	4	65	7	63	40	68	46
67	17	24	50	7	58	72	87	26	31
47	86	7	49	85	90	99	38	55	52
39	82	70	10	26	67	4	85	25	33
16	54	94	73	68	53	68	91	35	65
4	21	85	18	10	73	19	38	94	4
95	21	72	68	66	80	43	90	78	51
51	52	8	36	51	37	31	21	71	20
31	31	26	58	76	11	50	34	87	41
10	22	65	23	68	18	31	65	68	84
11	94	16	73	7	16	52	17	64	79
89	29	76	97	85	38	85	33	3	78
2	20	67	85	11	97	58	45	21	82
92	2	58	73	63	20	23	59	9	88
69	47	61	27	27	48	24	38	47	23
73	77	87	33	65	7	81	32	29	85
11	76	2	94	98	36	97	15	89	31
72	46	75	1	18	13	75	68	17	68
36	11	51	9	5	20	94	88	2	20
77	6	39	9	97	73	3	12	58	70
39	33	4	95	83	21	80	100	48	21
87	50	27	59	84	31	76	81	26	69
72	97	61	73	23	38	30	68	24	93
22	59	87	78	90	57	50	28	15	87
37	99	10	58	1	9	47	42	48	65
11	2	70	96	55	42	34	9	68	87
74	90	81	69	96	16	97	89	68	34
89	74	59	99	96	38	5	72	80	8
50	54	34	70	86	97	99	58	51	71
55	49	80	43	38	60	15	6	10	91
60	91	54	35	82	48	68	40	4	73
97	8	13	60	15	27	17	76	38	2
42	70	75	99	27	67	58	31	42	55
87	45	96	83	9	52	13	88	19	67
55	70	64	92	11	38	52	22	45	87
11	72	47	3	63	49	9	61	70	60
97	42	9	14	26	53	42	20	78	80
60	56	82	1	5	68	90	39	21	13
70	14	90	27	98	38	34	56	39	80
9	44	29	41	60	77	14	70	40	42
3	6	61	9	9	34	9	50	56	57
45	91	39	40	61	24	58	86	24	50
93	65	5	3	87	46	94	52	52	3
12	44	53	100	84	56	1	4	40	21
66	27	92	23	79	70	20	45	35	74
22	12	54	7	17	35	16	66	13	99
55	79	49	91	83	27	89	95	42	77
93	91	3	10	37	100	93	23	80	28
60	72	1	40	33	56	59	17	31	43
21	83	18	85	38	75	47	21	52	51
7	42	28	55	3	64	22	29	50	51
67	89	28	31	4	86	88	6	56	26
39	30	79	93	13	58	67	53	78	39
66	25	22	42	82	5	31	41	81	73
6	81	17	94	67	71	86	94	49	53
37	91	74	14	49	75	7	17	88	20
37	42	39	1	11	9	3	6	74	9
1	37	74	68	84	49	53	22	62	62
16	98	64	76	22	20	15	6	61	62
35	18	16	90	30	21	31	46	30	91
12	57	60	40	85	72	30	22	51	69
80	3	54	38	55	29	74	38	68	21
70	43	93	19	46	51	60	97	69	67
10	45	73	99	12	2	82	67	43	47
9	77	80	83	31	52	33	56	99	55
18	56	55	25	11	18	28	10	21	96
46	71	24	88	42	24	44	33	20	79
21	99	63	31	60	16	78	73	44	17
4	3	14	34	87	28	60	64	100	96
5	22	2	54	1	12	36	31	3	72
84	24	58	59	66	69	20	57	21	92
