200 50 25 20 1
93	25	14	20	94	64	27	92	87	50	85	49	70	54	16	12	76	9	100	52	86	17	7	73	53	42	37	94	42	45	71	75	64	40	70	66	85	94	9	8	77	73	83	55	16	98	46	15	47	98
83	61	59	48	31	89	28	80	19	91	4	94	70	97	3	88	32	39	39	16	51	12	97	80	45	5	36	100	22	13	27	36	33	6	60	43	40	29	17	58	30	82	75	82	29	86	74	68	89	77
98	50	2	22	59	8	72	17	20	40	60	42	43	44	15	15	26	55	43	66	83	41	49	46	37	93	6	80	30	18	45	46	17	9	87	83	83	70	12	95	98	59	98	91	85	79	18	11	100	19
70	63	38	67	22	70	44	5	50	25	49	7	86	89	12	52	83	86	90	77	39	31	21	91	16	15	55	69	11	10	66	96	32	60	27	55	18	38	51	53	87	20	38	88	8	77	4	61	99	54
88	84	88	15	54	53	87	28	14	35	87	1	46	24	43	44	21	37	16	25	42	60	87	93	82	72	17	45	10	81	1	78	32	94	94	33	5	92	51	23	74	40	69	20	31	88	63	6	13	45
4	28	79	65	81	59	21	17	40	23	62	45	62	14	51	49	83	62	58	25	66	93	47	18	12	67	95	17	40	3	92	91	55	75	61	10	31	34	47	70	31	26	95	38	22	76	94	68	41	59
81	21	65	76	20	8	15	27	30	76	57	87	61	67	48	66	77	45	62	51	23	33	99	4	63	81	58	15	62	60	60	61	29	18	37	65	89	38	21	53	92	21	23	85	84	61	58	22	24	58
95	19	1	99	92	26	55	21	56	26	5	55	56	53	40	34	3	33	40	18	95	94	12	67	46	46	100	49	96	48	38	76	99	27	39	94	5	17	97	96	63	89	27	70	2	75	58	32	30	11
91	39	84	83	63	66	34	1	84	6	29	57	84	63	17	85	57	100	44	27	86	39	79	53	92	50	14	91	78	91	74	14	13	96	31	90	13	83	100	57	1	23	94	74	65	56	5	6	76	78
26	84	70	71	43	76	11	32	30	48	91	81	49	84	27	92	59	60	13	79	3	78	42	62	42	98	91	41	79	36	44	15	9	65	44	78	67	67	16	74	50	79	96	26	70	53	72	55	20	88
37	34	39	71	72	10	15	34	21	29	11	63	1	91	53	43	19	41	5	24	52	47	55	3	24	30	13	84	58	14	2	14	30	74	16	25	40	31	74	59	85	85	8	28	35	45	41	28	20	34
79	60	67	28	24	84	60	69	72	40	42	18	62	65	32	76	56	40	62	31	91	47	31	67	23	84	76	73	83	32	5	48	20	60	28	74	83	80	95	50	66	95	53	15	44	38	99	51	89	7
86	43	27	17	100	32	84	64	56	85	80	83	12	48	77	58	94	35	66	15	52	91	57	26	27	83	10	65	71	38	18	48	81	50	15	44	42	61	86	12	28	1	73	9	2	90	83	68	24	98
46	84	54	43	48	69	37	5	36	59	86	44	31	47	38	11	67	46	24	25	10	28	75	71	28	40	98	33	37	58	63	82	31	70	85	3	54	1	67	69	24	100	99	90	80	72	52	91	93	85
10	69	67	16	12	75	79	70	59	24	16	54	13	18	95	96	56	16	89	6	32	100	58	13	73	84	75	17	75	33	73	92	37	85	22	62	50	64	67	65	43	79	99	45	49	92	50	69	26	64
66	66	22	13	28	85	24	88	33	71	69	94	81	7	40	20	34	40	9	48	10	95	47	65	79	98	100	91	20	46	3	37	30	57	9	54	68	78	94	21	15	73	54	63	91	65	96	96	33	89
93	22	55	73	52	42	97	21	69	46	52	81	42	11	49	36	87	38	49	9	23	5	98	42	27	21	10	90	20	9	49	89	32	16	26	4	16	81	23	60	27	31	86	20	3	54	87	16	11	30
80	4	63	99	65	78	100	62	10	2	46	4	92	11	27	90	33	92	5	81	47	66	29	24	15	84	30	63	13	63	72	73	74	56	98	68	19	57	21	56	67	35	12	10	62	81	74	45	34	84
80	40	25	13	27	7	39	19	80	48	93	40	11	37	48	51	100	14	69	74	78	9	87	37	58	1	17	90	8	67	75	9	2	77	91	64	37	39	86	82	88	87	20	72	48	16	7	45	83	85
94	72	15	89	3	51	17	82	96	53	75	37	42	21	29	21	6	57	62	55	93	84	96	71	29	7	62	47	28	23	35	46	78	45	13	10	93	11	12	27	80	18	14	32	61	78	62	18	84	14
37	40	35	61	9	26	70	53	23	76	71	76	72	42	5	10	45	46	98	82	20	95	73	98	47	63	59	45	92	3	45	48	52	45	37	17	60	60	51	47	58	69	65	58	79	81	18	40	100	77
25	41	87	27	78	84	29	63	100	46	79	96	56	9	28	81	58	5	77	7	68	45	67	74	97	67	59	16	33	66	4	43	52	34	8	16	98	41	57	25	48	80	76	71	69	20	8	27	40	9
44	95	6	2	71	51	35	7	14	96	65	8	26	3	95	80	78	32	4	95	24	95	85	76	45	27	15	18	44	91	27	22	2	62	17	45	8	66	46	8	15	84	64	64	45	82	23	61	39	92
37	25	68	42	97	36	97	39	22	52	4	96	28	7	3	46	7	73	84	14	91	20	48	48	7	5	98	40	62	31	46	60	56	42	68	57	12	8	21	59	48	89	41	29	59	49	64	73	45	9
40	26	3	70	80	23	42	80	25	71	38	28	96	40	20	20	16	60	78	10	49	32	78	71	22	49	1	72	6	16	29	68	60	30	12	13	3	93	27	23	45	78	61	62	84	74	50	89	64	40
4	50	93	88	91	81	93	96	42	93	99	35	13	60	91	72	44	40	99	57	30	65	52	67	27	59	49	87	94	43	89	27	36	81	96	2	64	84	26	67	60	28	95	54	37	96	14	54	39	38
27	43	52	96	92	70	12	67	74	17	10	3	19	40	27	4	81	9	31	9	85	95	45	88	95	8	26	48	80	44	59	65	42	67	62	89	23	46	45	48	55	56	53	2	33	23	80	39	4	74
13	30	48	88	46	90	87	80	78	23	19	31	67	16	87	16	60	98	34	20	46	89	45	19	79	24	90	22	19	100	54	46	35	53	62	66	30	43	100	70	19	85	74	57	38	41	82	30	81	75
88	46	3	71	44	35	43	9	4	1	57	6	57	75	56	74	37	97	26	80	45	32	38	22	18	20	23	52	95	60	78	54	17	92	94	73	15	52	77	60	54	98	88	66	2	89	51	75	90	5
46	32	65	64	20	92	29	84	95	9	90	8	91	38	55	73	37	25	53	19	50	53	30	80	70	99	89	42	84	29	21	52	64	94	81	68	93	55	28	30	52	98	49	20	96	42	61	23	13	49
68	81	69	88	35	94	47	45	59	24	87	60	5	90	13	88	34	7	73	44	22	49	4	83	34	21	88	17	78	82	45	5	12	91	94	46	5	67	12	31	45	11	4	92	30	5	80	6	13	49
12	81	18	66	26	4	8	40	24	60	70	44	10	51	59	71	14	64	99	77	4	55	8	4	39	15	36	85	80	77	42	3	29	82	10	6	90	79	34	48	24	13	33	14	48	1	76	69	28	72
